year,group_dir,palette_hex,palette_proportions,n_images,image_source,avg_hue,avg_saturation,avg_brightness
2014,2014_Alpha_Chi_Omega,#3E2827;#5C2F38;#400C0D;#650913;#6D4D49;#8A6662;#8E111F;#A88A80;#D03C3C;#D6B5A9,0.2058;0.1809;0.1626;0.1056;0.0940;0.0863;0.0586;0.0542;0.0264;0.0256,8,youtube,0.9985,0.5378,0.3962
2014,2014_Alpha_Tau_Omega,#482621;#6C4D38;#13374F;#8D7269;#4A5E5D;#BA9A8F;#C74519;#E18E4F;#E5CBB4;#6BC4A3,0.1660;0.1440;0.1430;0.1235;0.1044;0.0943;0.0672;0.0664;0.0619;0.0293,5,bing,0.0616,0.4718,0.5169
2014,2014_Delta_Delta_Delta,#6F3B35;#123C44;#431A15;#A95752;#F66170;#3E5786;#03F1F2;#E9B4A0;#07949A;#4E85DA,0.1728;0.1619;0.1544;0.1175;0.1137;0.0764;0.0586;0.0578;0.0438;0.0432,8,youtube,0.9659,0.6312,0.5584
2014,2014_Kappa_Alpha_Theta,#1F43B6;#3D75ED;#152467;#872F4E;#B32199;#531B28;#88C6F7;#B77A6F;#E960BC;#F0BAC0,0.1669;0.1657;0.1232;0.1132;0.0968;0.0913;0.0840;0.0568;0.0549;0.0471,8,youtube,0.7513,0.6770,0.6972
2014,2014_Kappa_Kappa_Gamma,#41323D;#794441;#4F1A1E;#A06C5E;#D3927E;#E03351;#6B5A9D;#9594DA;#EFD0B2;#E051AD,0.1866;0.1619;0.1283;0.1216;0.1063;0.0793;0.0699;0.0499;0.0498;0.0465,8,youtube,0.9575,0.4465,0.5712
2014,2014_Kappa_Omega_Tau,#3E2120;#114025;#5E282C;#4C433B;#2B2340;#74615E;#45355B;#853940;#A1867E;#D4B8AA,0.2121;0.1247;0.1210;0.1139;0.1098;0.0881;0.0755;0.0647;0.0573;0.0330,8,youtube,0.9916,0.4431,0.3533
2014,2014_Kappa_Sigma,#74434E;#492B32;#9A6370;#5050A2;#353479;#746FC4;#161947;#CA8C9E;#EFBBD7;#9A93E2,0.1443;0.1186;0.1179;0.1109;0.1012;0.0991;0.0919;0.0788;0.0784;0.0590,8,youtube,0.8253,0.4339,0.5791
2014,2014_Pi_Beta_Phi_and_Phi_Kappa_Chi,#402B31;#9A7570;#6B4C53;#D79B8C;#EFD5C4;#9F2E33;#D1625B;#606A95;#D75CAD;#61B3DD,0.1738;0.1640;0.1553;0.1251;0.0854;0.0840;0.0805;0.0587;0.0509;0.0222,8,youtube,0.9827,0.3734,0.6082
2015,2015_Alpha_Tau_Omega,#492733;#131B5A;#7D5F65;#881A67;#8B1420;#B59CA5;#2545B7;#822CC0;#E91C51;#E428C4,0.1989;0.1422;0.1356;0.1145;0.1125;0.0777;0.0764;0.0645;0.0389;0.0388,8,youtube,0.8792,0.6139,0.5247
2015,2015_Chi_Omega,#694638;#4C1C13;#91695E;#303259;#C69283;#5061B1;#EF1A51;#F0D3B5;#A5171F;#DD4CE2,0.1599;0.1529;0.1321;0.1024;0.0968;0.0914;0.0799;0.0730;0.0651;0.0465,8,youtube,0.9850,0.5418,0.5878
2015,2015_Delta_Delta_Delta,#244D42;#0F2958;#0E3A93;#422B27;#227369;#65534B;#90796D;#0FB395;#7C1215;#C8B19E,0.1597;0.1586;0.1256;0.1075;0.1069;0.1019;0.0854;0.0588;0.0585;0.0372,7,youtube,0.5162,0.6081,0.4389
